"","x"
"1",2021-12-01
"2",2022-06-01
"3",2022-03-01
"4",2021-09-01
"5",2006-12-01
"6",2007-12-01
"7",2008-12-01
"8",2009-12-01
"9",2010-12-01
"10",2011-12-01
"11",2012-12-01
"12",2013-12-01
"13",2014-12-01
"14",2015-12-01
"15",2016-12-01
"16",2017-12-01
"17",2018-12-01
"18",2019-12-01
"19",2020-12-01
"20",2005-06-01
"21",2006-06-01
"22",2007-06-01
"23",2008-06-01
"24",2009-06-01
"25",2010-06-01
"26",2011-06-01
"27",2012-06-01
"28",2013-06-01
"29",2014-06-01
"30",2015-06-01
"31",2016-06-01
"32",2017-06-01
"33",2018-06-01
"34",2019-06-01
"35",2020-06-01
"36",2021-06-01
"37",2018-03-01
"38",2019-03-01
"39",2020-03-01
"40",2021-03-01
"41",2018-09-01
"42",2019-09-01
"43",2020-09-01
